Name,Date,Prev_close,Close,Per_diff
PANACEABIO,03-05-2021 00:00,331.85,410.05,23.56486364
PANACEABIO,01-06-2021 00:00,410.05,371.45,-9.41348616
PANACEABIO,01-07-2021 00:00,371.45,320.15,-13.81074169
PANACEABIO,02-08-2021 00:00,320.15,298.45,-6.778072778
PANACEABIO,01-09-2021 00:00,298.45,285.9,-4.205059474
PANACEABIO,01-10-2021 00:00,285.9,209.25,-26.81007345
PANACEABIO,01-11-2021 00:00,209.25,222.5,6.33213859
PANACEABIO,01-12-2021 00:00,222.5,198.65,-10.71910112
PANACEABIO,03-01-2022 00:00,198.65,240.35,20.99169393
PANACEABIO,01-02-2022 00:00,240.35,200.35,-16.64239651
PAR,16-09-2021 00:00,136.1,210.45,54.6289493
PAR,01-10-2021 00:00,210.45,209.65,-0.3801378
PAR,01-11-2021 00:00,209.65,191.25,-8.776532316
PAR,01-12-2021 00:00,191.25,201.25,5.22875817
PAR,03-01-2022 00:00,201.25,177.55,-11.77639752
PAR,01-02-2022 00:00,177.55,154.7,-12.86961419
PARAGMILK,01-01-2020 00:00,133.95,139.1,3.844718178
PARAGMILK,01-02-2020 00:00,139.1,80.6,-42.05607477
PARAGMILK,02-03-2020 00:00,80.6,63.85,-20.78163772
PARAGMILK,01-04-2020 00:00,63.85,90.95,42.44322631
PARAGMILK,04-05-2020 00:00,90.95,87.55,-3.738317757
PARAGMILK,01-06-2020 00:00,87.55,95.85,9.480296973
PARAGMILK,01-07-2020 00:00,95.85,84.7,-11.63275952
PARAGMILK,03-08-2020 00:00,84.7,105.15,24.14403778
PARAGMILK,01-09-2020 00:00,105.15,106.35,1.141226819
PARAGMILK,01-10-2020 00:00,106.35,106.15,-0.188058298
PARAGMILK,02-11-2020 00:00,106.15,109.55,3.203014602
PARAGMILK,01-12-2020 00:00,109.55,114.35,4.381560931
PARAGMILK,01-01-2021 00:00,114.35,110.75,-3.148229121
PARAGMILK,01-02-2021 00:00,110.75,107.3,-3.115124153
PARAGMILK,01-03-2021 00:00,107.3,105.55,-1.630941286
PARAGMILK,01-04-2021 00:00,105.55,111.7,5.826622454
PARAGMILK,03-05-2021 00:00,111.7,135.1,20.94897046
PARAGMILK,01-06-2021 00:00,135.1,136.6,1.110288675
PARAGMILK,01-07-2021 00:00,136.6,138.55,1.427525622
PARAGMILK,02-08-2021 00:00,138.55,132.9,-4.077950198
PARAGMILK,01-09-2021 00:00,132.9,125.95,-5.229495862
PARAGMILK,01-10-2021 00:00,125.95,134.35,6.66931322
PARAGMILK,01-11-2021 00:00,134.35,122.75,-8.634164496
PARAGMILK,01-12-2021 00:00,122.75,111.8,-8.920570265
PARAGMILK,03-01-2022 00:00,111.8,109.95,-1.654740608
PARAGMILK,01-02-2022 00:00,109.95,112.4,2.228285584
PARAS,18-10-2021 00:00,625.3,927.3,48.29681753
PARAS,01-11-2021 00:00,927.3,705.25,-23.94586434
PARAS,01-12-2021 00:00,705.25,743,5.352711804
